description,Degree,School,School2,Master_A_Etranger,Double_Diplome,Certificats,Job1,Company_job1,Job2,Company_job2,Job3,Company_job3,Company_job4,Stage1,Stage2,Stage3,Stage4,Stage5,Skills,Specialité,Entreprises,Entreprise_Ds,EntrepriseSpec
"Motivated, I aim to broaden my knowledge, expand my contact network and live new experiences that will allow me to be a better version of myself by addressing an innovative approach to Data Science and Artificial Intelligence while creating a favorable team environment development and growth.",Electromechanical Engineer,Esprit,vide,Tunisia Polytechnic School,1.0,"Data Analysis with Python
IBM  / Databases and SQL for Data Science
IBM  / Machine Learning with Python
IBM /  Python for Data Science and AI
IBM / Fondamentaux du marketing numériques Google / Training of Trainers
Evolve / ",Renewable Energy Engineer,STEG Energies Renouvelables,vide,,vide,,,Société Tunisienne de l'Electricité et du Gaz (STEG),Faurecia,STE Les câbleries de Grombalia,vide,vide,"
Mécatronique ,  Analyse de données , Conception bases de données , Robotique , Énergie renouvelable , Mécanique des fluides , Génie mécanique , Électronique , Gestion de projet , Contrôle qualité , Lean Management , AMDEC , 
Électricité , Mécanique , Génie industriel , Génie électrique , Kaizen , Lean Manufacturing , Gestion de la chaîne logistique, Production musicale , Composition musicale , SolidWorks , Matlab , CATIA , SAP ERP , Résolution de problèmes ,  Cubase , Hypermesh, TIA Portal, Raspberry Pi , HyperWorks , FlexSim
",Électromécanique,"STEG Energies Renouvelables,vide,vide,vide",stegenergiesrenouvelablessocietetunisiennedelelectriciteetdugazstegfaurecia,STEGEnergiesRenouvelables
"Dynamic business intelligence analyst with digital marketing experience.
Analytical, hardworking and polyvalent with strong collaboration skills. ",Dynamic business intelligence analyst with digital marketing experience,Esprit,vide,vide,0.0,vide,Chief Marketing Officer,Wizzlabs,Digital Manager,CEREALIS Group,vide,,,Wizzlabs,,vide,vide,vide,"Design , Programmation , Informatique décisionnelle , Reporting & Analysis , 
Big Data , ERP , Hadoop",ERP-BI,"Wizzlabs,CEREALIS Group,vide,vide",wizzlabscerealisgroupwizzlabs,WizzlabsCEREALISGroup
"Développement, Formation, IoT, Embarqué, Fabrication, Électronique, Développeur, Impression 3D, CNC, Objet Connecté, Internet of Things, Internet des Objets, Systèmes, Embedded, FabLab",Ingénieur logiciel systèmes embarqués,Esprit,vide,Mines Douai,1.0,Professional Certificate in English Language / TOEIC,Ingénieur logiciel,Micronics Systems,Conseiller technico-commercial,Most Solution Electronics,CEO,I&C - Electronic Services,FabLab Solidaire - Jeunes Science de Tunisie,MICRONICS Systems,Economic Auto Mazda Tunisie,WoMa,vide,vide,"Project Management , Internet of Things (IoT) , Raspberry Pi , Robotics , Web Development , 
Electronics ,  Algorithmes Recherche , Interactions homme-machine ,
Développement de logiciels , Base de données , Automate programmable , 
 SQL , SQLite , Linux ,Step7 ,Tia Portal ,  Microchip PIC 
",SLEAM,"Micronics Systems,Most Solution Electronics,I&C - Electronic Services,FabLab Solidaire - Jeunes Science de Tunisie",micronicssystemsmostsolutionelectronicsmicronicssystemseconomicautomazdatunisie,MicronicsSystemsMostSolutionElectronics
"Jeune diplômé, motivé et innovant, à la recherche d’un emploi/stage dans le secteur des SAP. Mon objectif est de développer mes compétences sur des métiers terrains dans le but d’évoluer sur des postes clefs pour la suite de ma carrière.",vide,vide,vide,vide,vide,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,Infrastructure Security Engineer at EcoVadis | Penetration Tester | HackTheBox Guru,Esprit,vide,vide,0.0,"Introduction to Azure PenetrationTesting  Altered Security /  ISO/IEC 27001 Information Security Associate™
SkillFront / Foundations of Purple Teaming
AttackIQ  /  Splunk Infrastructure Overview
Splunk / NSE 1 Network Security Associate
Fortinet  /  NSE 2 Network Security Associate / Splunk 7.x Fundamentals Part 1 (eLearning)
Splunk  /  Cybersecurity Audit 
Cybrary  / OSINT Fundamentals
Cybrary / Pentest Fundamentals: Scanning Networks
Cybrary / Pentest Fundamentals: Sniffing
Cybrary / Cyber Security Foundation
CertiProf",Junior Infrastructure Security Engineer,EcoVadis,vide,,vide,,,ATHENA Experts,ALFAROS,vide,vide,vide,"
Vulnerability Assessment , Penetration Testing , Information Security , Linux System Administration , 
Firewalls , Network Security , Shell Scripting , SQL , ELK , C# , 
Metasploit , nmap , IDS , IPS , Security Information and Event Management (SIEM) , Web Application Security , 
Splunk , Go , Application Security",NIDS,"EcoVadis,vide,vide,vide",ecovadisathenaexpertsalfaros,EcoVadis
vide,Manufacturing Engineer,Esprit,vide,vide,0.0,"VDA Automotive Core Tools
Verband der Automobilindustrie (VDA) / TUM Lean Six Sigma Yellow Belt 
Technical University of Munich / IELTS  
British Council  / Certified SolidWorks Expert
Dassault Systèmes / Six Sigma Black Belt (CSSBB)
ASQ - World Headquarters",Projects Engineer,Aluminium-Laufen Tunis,vide,,vide,,,LATÉCOÈRE,Aluminium-Laufen Tunis,Faurecia,AVIONAV,ZF Group,"
Lean Six Sigma , Supply Chain Management , Project Management , Continuous Improvement , Lean Manufacturing , 
Industrial Engineering , Statistical Process Control (SPC) , Failure Mode and Effects Analysis (FMEA) , 
Change Management , Statistical Data Analysis , Strategic Planning , 
SOLIDWORKS , Minitab , Process Capability , Quality engineering , Hypothesis Testing , Design for Six Sigma (DFSS)",Génie Civil,"Aluminium-Laufen Tunis,vide,vide,vide",aluminiumlaufentunislatecoerealuminiumlaufentunis,AluminiumLaufenTunis
vide,Software developer,Esprit,vide,vide,0.0,vide,Software Development Engineer,PITERION Group,vide,,vide,,,Bertsch Innovation GmbH,CB+,Vynd,Linedata,vide,"
Développement Android , Développement Web , Développement IOS , Java , Kotlin , Ux/Ui , Symfony , SQL , PhpMyAdmin ,JavaScript , Node.js ,solidity , MySQL , XCode , Android Studio , DataBase , Laravel , MVC , Architecture orientée services (SOA) , Unity , Swif , mvp , ",Génie Logiciel,"PITERION Group,vide,vide,vide",piteriongroupbertschinnovationgmbhcb,PITERIONGroup
"I study IT engineering @ESPRIT.
Being specialized in Network Infrastructure and Data Security, I am constantly in search and development of techniques associated with new technologies and actual methods to remain competent and competitive in my study field.
Furthermore, I am a graphic designer and over the course of my 8-year career, I've developed skills set directly relevant to the graphic designer role, including web design, branding and print media. I invite you to review my detailed achievements in my portfolio link below.
Also an amateur filmmaker since 2012 experimenting with different art forms that cinema includes such as photography, music and theater. Seeking harmony and effectiveness along with creative thinking, I directed five short-films through the last four years.
Walking through other different experiences with associations and NGOs, I have shaped my communication skills through different formations and practicing it in several national and international experiences.",Cyber Security Engineer,Esprit,"INSAT - Institut National des Sciences Appliquées et de Technologie  
Mathematics and Computer Science",vide,0.0,vide,Amateur Movie Director,Fédération Tunisienne des Cinéastes Amateurs (FTCA),Graphic Designer,Freelance,vide,,,WAPPDEV,MINOS Research Group,vide,vide,vide,"Network Security ,Information Security , Cybersecurity , Access Control , 
Computer Science , IT Audit , Scripting , Software Development, Risk Management , Risk Analysis , 
 Internet Security , Reverse Engineering , Cyber Defense , OWASP , Application Security , Network Infrastructure , 
Vulnerability Scanning , Information Systems  , Security Consulting , Risk Analytics , Role-Based Access Control (RBAC) , 
Wide Area Network (WAN) , Virtual Private Network (VPN) , Network-Attached Storage (NAS) , OWASP ZAP , DMZ , Data Security , Experimental Research
",NIDS,"Fédération Tunisienne des Cinéastes Amateurs (FTCA),Freelance,vide,vide",federationtunisiennedescineastesamateursftcafreelancewappdevminosresearchgroup,FederationTunisiennedesCineastesAmateursFTCAFreelance
vide,vide,vide,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
Penetration Tester - Forensics - Automation Guru,Security Engineer,Esprit,vide,vide,0.0,"Fortinet's Network Security Associate 1
Fortinet  / Fortinet's Network Security Associate 2
Fortinet",Cyber Security Consultant,EY,Cyber Security Analyst And Backend Dev,BSMART,"
Information Security Analyst",KAWAMI,,ALFAROS,Petnica Science Center,vide,vide,vide,"Network Security ,Information Security , Cybersecurity , Access Control , 
Computer Science , IT Audit , Scripting , Software Development, Risk Management , Risk Analysis , 
 Internet Security , Reverse Engineering , Cyber Defense , OWASP , Application Security , Network Infrastructure , 
Vulnerability Scanning , Information Systems  , Security Consulting , Risk Analytics , Role-Based Access Control (RBAC) , 
Wide Area Network (WAN) , Virtual Private Network (VPN) , Network-Attached Storage (NAS) , OWASP ZAP , DMZ , Data Security , Experimental Research
",NIDS,"EY,BSMART,KAWAMI,vide",eybsmartalfarospetnicasciencecenter,EYBSMART
"I am passionate about entrepreneurship, e-health, technological innovations and public speaking.
The universe has made me meet some incredibly fantastic people who complement and trust me and that’s the whole point of starting a business:
Being surrounded by people who complement me allows us to move forward and shine together!
It is not for nothing that we say that ""There is strength in Unity""!",CEO et Cofondatrice de L'Agence Parisienne Des Talent | Cofondatrice et cheffe de projet chez AVCare,Esprit,vide,vide,0.0,"Machine Learning APIs 
Google / GCP Essentials
Google / Hult Prize Tunisia National Program 
Hult Prize Foundation / 1st IOT Workshop
ESPRIT (Ecole Supérieure Privée d'Ingénierie et de Technologies) / Advanced Communication Skills
Rebirth /  The basics of wise leadership
Rebirth / Certification of organization GD3
ESPRIT (Ecole Supérieure Privée d'Ingénierie et de Technologies)",CEO and Cofounder,L'Agence Parisienne Des Talents,Full-stack Developer | Project Manager,ALEF MEDIA GROUPE,Cofounder | Project Manager,AVCare,Hult Prize Foundation,CGF - Compagnie Gestion et Finance,ESPRIT (Ecole Supérieure Privée d'Ingénierie et de Technologies),vide,vide,vide,"Microsoft Office , MySQL , Framework Symfony ,Android Development , IOS Development , Scrum ,  SQL , 
Voix sur IP (VoIP) , Elastix , 3cx , IOS , Iconic , IOT , Oracle ,MySQL , MVC , MongoDB , Node.js , Iconic , Angular7",SIM,"L'Agence Parisienne Des Talents,ALEF MEDIA GROUPE,AVCare,Hult Prize Foundation",lagenceparisiennedestalentsalefmediagroupecgfcompagniegestionetfinanceespritecolesuperieurepriveedingenierieetdetechnologies,LAgenceParisienneDesTalentsALEFMEDIAGROUPE
vide,Data scientist,Esprit,vide,vide,0.0,"Design thinking for innovation
University of Virginia / sentiment analysis with deep learning using BERT
Rhyme.com (Acquired by Coursera)  / data science toolbox 
The Johns Hopkins University  /  
Introduction to deep learning for computer vision
NVIDIA Deep Learning Institute",Data Science Intern,Arabesque,vide,,vide,,,Mitakus,Arabsoft,societe de ciment,vide,vide,"Machine Learning , Business Intelligence  ,JAvaScript ,  SQL , PHP , HTML , MySQL , R ,  
Microsoft SQL Server , Deep learning ,Statistique , Analyse des données ,  IA
 

 ",Data Science,"Arabesque,vide,vide,vide",arabesquemitakusarabsoft,Arabesque
vide,Administrateur & Support JIRA,Esprit,vide,vide,0.0,"Formation Devops par le Pratique
Ghazela Technology Academy  / Formation Aws Certified Developer
Udemy",Support Engineer Jira Cloud,Sagemcom,vide,,vide,,,DXC Technology,Orange Tunisie,vide,vide,vide,"Jenkins , Amazon Web Services , Ansible , Docker , Amazon S3 , Amazon RDS , Kuberneties , Amazon EBS",Génie Logiciel,"Sagemcom,vide,vide,vide",sagemcomdxctechnologyorangetunisie,Sagemcom
vide,Data Scientist,Esprit,vide,Le Mans Université,1.0,"Fundamentals of Deep Learning for Computer Vision 
NVIDIA  /  Data Science Foundations - Level 1
IBM  /  Data Structures by University of California San Diego & National Research University Higher School of Economics
Coursera / Neural Networks and Deep Learning
DeepLearning.AI / Algorithmic Toolbox
Coursera",Data Scientist,Value,vide,,vide,,,Value,InstaDeep,vide,vide,vide," Data Structrures , Python , PHP , MySQL , DataBases , Genetic Algorithms , R ,  SQL , Machine Learning , Deep Learning , PyTorch , Keras , Data Mining , Neural Networks , AI , Apache Spark , TensorFlow , Statistical Data Analysis , Data Analytics ,  Artificial Neural Networks , Predictive Analytics , Scikit-Learn , NumPy , Data Engineering , 
Convolutional Neural Networks (CNN)",Data Science,"Value,vide,vide,vide",valuevalueinstadeep,Value
vide,Senior Mobile Developer- Android,Esprit,Institut supérieur d’informatique ISI,vide,0.0,vide,Senior Mobile Developer - Android,wetter.com GmbH,Android Software Engineer,adviqo GmbH,Android Software Engineer,Teraki,,Central Bank Of Tunisia,Mercedes-Benz Tunisia,Orange Tunisie,vide,vide,"Android , RxJava , Model-view-viewmodel (MVVM) , Développement Android , 
Architecture de solution , Unit Testing , Java , SDK Android , Kotlin , KTX , Braze , FireBase , Room , 
Integration Testing , CI , Dagger 2 , android x , 
firestone , TeamCity , 
Adyen SDK , 
In-App-Purchase , 
Boleto Bancario , 
Paypal SDK , 
MotionLayout , 
NavigationLayout , 
Lottie Animation SDK
 ",SIM,"wetter.com GmbH,adviqo GmbH,Teraki,vide",wettercomgmbhadviqogmbhcentralbankoftunisiamercedesbenztunisia,wettercomGmbHadviqoGmbH
"I am a Software engineer who's eager to leave his mark wherever i work. I love to learn hands on,
and thrive . I yearn to be challenged in order to grow and improve my skills.",fullstack dev,Esprit,vide,vide,0.0,"EF Standard English Test
(EF SET) ",vide,,vide,,vide,,,YUV TV,QNB Group,Talan Tunisie,vide,vide,"Java ,SQL , Software Development  , JavaScript ,  PHP , MySQL , HTML , Oracle Database , 
jQuery , PL/SQL",Génie Logiciel,"vide,vide,vide,vide",yuvtvqnbgroup,vide
vide,Ingénieur Électromécanique,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,SEA GROUP TUNISIA,MSPE,Sartex Group,vide,vide,"SolidWorks , Step 7 TIA Portal , LabWiew , Gestion de projet , Matlab ,SQL , Visual Basic pour Applications (VBA) , STM32 ",Électromécanique,"vide,vide,vide,vide",seagrouptunisiamspe,vide
"Data Science Engineer who's aim is to know more ,every day , about this domain . Highly motivated and interrested in developing my skills . Working with a group is a pleasure for me , and harnessing all my power and knowledges to help my team complete a task is my main goal. ",Junior Data Scientist,Esprit,vide,Le Mans Université,1.0,"Fundamentals of Deep Learning For Computer Vision
NVIDIA",vide,,vide,,vide,,,FabSkill,Mitakus analytics,Apptiv-IT - Valomnia Labs,vide,vide,"Python , Machine Learning ,  SQL , JavaScript , R Shiny , Speech Recognition , Statistics , Time Series Analysis , 
Data Analysis , Computer Vision , Data Visualization , Actuarial Science , TensorFlow , Scikit-Learn , Applied Machine Learning, ",Data Science,"vide,vide,vide,vide",fabskillmitakusanalytics,vide
"Ma formation en mécatronique m'a permis d'acquérir des compétences en électronique embarquée, électronique analogique et numérique, électronique de puissance, contrôle complexe, modélisation et contrôle de systèmes automatisés. Ma formation m'a également apporté des connaissances en automatisation, supervision de systèmes automatisés et en conception mécanique, informatique industrielle et instrumentation.
Les projets réalisés tout au long de mon parcours, ainsi que les expériences des stages, m'ont permis de mettre en pratique mes connaissances techniques variées, mais aussi de développer des capacités relationnelles et un sens de l'écoute. Ils m'ont également appris à mettre mes forces et mes idées au service des départements projets.
Ces expériences ont nécessité de ma part que je sois Autonome, dynamique, polyvalent, ambitieux et motivé à explorer de nouvelles opportunités avec une grande ouverture d'esprit, d'excellentes qualités relationnelles ainsi que des capacités d'analyse et de synthèse",Ingénieur contrôle commande,Esprit,vide,vide,0.0,vide,Ingénieur contrôle commande,SEGITEC GROUP,vide,,vide,,,SEA (Société d'Électronique et d'Automatisme),SACEM GROUP,INTERMETAL,vide,vide," Automation , Génie électrique , Gestion de projet , Intégration , Automate programmable industriel , AutoCAD Electrical , SOLIDWORKS ,  SQL , Arduino ,Visio , Recherche qualitatitve , Automatisation industrielle , e!cockpit , Tia Portal , WINCC , PcVue , step7, Siemens , PSIM , Altium Designer , ISIS , Industry 4.0 , Langage W , eplan , WINDEV , OPC , KEPWARE",Électromécanique,"SEGITEC GROUP,vide,vide,vide",segitecgroupseasocietedelectroniqueetdautomatismesacemgroup,SEGITECGROUP
Élève ingénieur en informatique spécialisé dans le développement des applications mobiles,Étudiant,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,HomeJek,Entreprise Tunisienne des Activités Pétrolières (ETAP),Groupe Chimique Tunisien (GCT),vide,vide,"Développement Android , Swift  ,Développement iOS , Unity , Linux , 
Administration  système Linux , PhpMyAdmin , MySQL , 
iOS , Java , JavaScript , Java Enterprise Edition , 
Java Database Connectivity (JDBC) , Framework Ionic , Oracle Database , ASP.NET , 
ASP.NET MVC , Node.js , 
React.js , 
React Native ",SIM,"vide,vide,vide,vide",homejekentreprisetunisiennedesactivitespetrolieresetap,vide
vide,Consultant Développeur Python,Esprit,vide,vide,0.0,"Game, Design & Developement Day(GD3)",Ingénieur DevOps,ORNESS,vide,,vide,,,Société Générale,Orange Tunisie · Freelance,Euranova,Attijari Bank,vide,"Python , JavaScript , React.js , MySQL , Node.js , PHP , SQL , HTML5 , Django, PostgreSQL , Services web RESTful , Docker , Symfony , Express.js , Kubernetes , Développement web back-end ",TWIN,"ORNESS,vide,vide,vide",ornesssocietegeneraleorangetunisie*freelance,ORNESS
"Etudiant fraichement diplômé en ingénierie génie civil de l’école ESPRIT dans l’attente d’une nouvelle expérience afin d’élargir ses connaissances dans le secteur du génie civil. Capable de surmonter les défis et de s’adapter à de nouveaux environnements. 

Compétences acquises lors des différentes expériences :
-Modélisation sur les différents logiciels (Autodesk REVIT , Autodesk Robot ,Graitec Arche ,AutoCAD..)
-Elaboration des plans de coffrages et de ferraillages -
-Développement d'une interface graphique (Python)
-Conception d'un projet

Soft skills développés :
-Une grande capacité d'adaptation.
-Une grande capacité d'apprentissage.",Ingénieur en génie civil,Esprit,vide,vide,0.0,"Certificate of completion Revit structure - Intermediate
AutoDesk / Certificate of completion Revit structure - Essentials
AutoDesk / Autodesk Certified Professional: Revit for Structural Design Exam Prep
Coursera / Programming for Everybody (Getting Started with Python)
Coursera  /  Fundamentals of Deep Learning For Computer Vision
NVIDIA",vide,,vide,,vide,,,Marouane Naoua Ingenieur conseil,Betic s.a. Ingénieurs - Conseils,"Stage en ingénierie
",CFE,vide,"Oracle Developer Suite , Revit , AutoCAD , Logiciels Autodesk , Modélisation , Conception assistée par ordinateur (CAO) , Génie des structures , 
Arche",Génie Civil,"vide,vide,vide,vide",marouanenaouaingenieurconseilbeticsaingenieursconseils,vide
vide,vide,vide,vide,vide,vide,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,Software Engineer,Esprit,vide,vide,0.0,"Cisco Certified Network Associate Security (CCNA)
Cisco",Software Engineer,Dragonchain,Mobile Engineer,Linkia,Mobile Application Developer,Siniway,,,,vide,vide,vide,"Java , AngularJs , MySQL , Android , NoSQL , MongoDB , Node.js  ",Génie Logiciel,"Dragonchain,Linkia,Siniway,vide",dragonchainlinkia,DragonchainLinkia
vide,vide,vide,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
Étudiante en 5ème année Data Science à l’École supérieure privée d’ingénierie et de technologie ESPRIT,Junior data scientist,Esprit,vide,vide,0.0,vide,Software Engineer,Assurances COMAR et HAYETT,vide,,vide,,,Valeo,Logis,PARENIN,Talan,vide,"Python , Machine Learning , Deep Learning ,MySQL , Big Data , R , Microsoft SQL Server , 
Microsoft Power BI , Qlik Sense , Tableau , SQL , PL/SQL , NoSQL 
·
",Data Science,"Assurances COMAR et HAYETT,vide,vide,vide",assurancescomarethayettvaleologis,AssurancesCOMARetHAYETT
vide,Business Intelligence Analyst,Esprit,vide,vide,0.0,"FUNDAMENTALS OF DEEP LEARNING FOR COMPUTER VISION
NVIDIA",Business Intelligence Analyst,Jurass Expertise,Développeur web,"Embedded Solutions and Advanced Technology ""E.S.A.T""",vide,,,"Freelance, self-employed · Freelance",Jurass Expertise,vide,vide,vide,"Développement de logiciel , Analyse de données , Big Data , Informatique décisionnelle , SQL ,MySQL , NoSQL , 
Hadoop , R , PostgreSQL , React.js , SQL Server Integration Services (SSIS) , SQL Server Reporting Services (SSRS) , 
Oracle SQL Developer , Firebase , Redux , Talend Open Studio ",ERP-BI,"Jurass Expertise,Embedded Solutions and Advanced Technology ""E.S.A.T"",vide,vide",jurassexpertiseembeddedsolutionsandadvancedtechnologyesatfreelanceselfemployed*freelancejurassexpertise,JurassExpertiseEmbeddedSolutionsandAdvancedTechnologyESAT
"I’m a junior Data Scientist at Value Digital Services. I have worked on different projects that involve machine
learning and statistical analysis using R and Python. I’m also skilled at the database management tools such as Microsoft SQL Server, Oracle and Qlik sense.",Data Scientist,Esprit,vide,ECE. Ecole d'ingénieurs. Engineering School,1.0,"Deep Neural Networks with PyTorch
Coursera /  Natural Language Processing Fundamentals in Python
DataCamp /  Fundamentals of Deep Learning for Computer Vision 
NVIDIA",LData Scientist,Value,vide,,vide,,,Value,Andex,Mitakus analytics,vide,vide,"R , Python , 
Apprentissage automatique  ,SQL , MySQL  , Java ,   Microsoft SQL Server , NLP , Deep leraning , Machine learning , Statistique ",Data Science,"Value,vide,vide,vide",valuevalueandex,Value
vide,Consultante BI,Esprit,vide,vide,0.0,vide,Consultante BI,Yellowsys,Consultante BI,Binit Nearshore Services,vide,,,Poulina Group Holding,Groupe Magasin General,3C ETUDES,Target Oilfield Services L.L.C,vide,"Business Intelligence , Power bi , 
Extraire, transformer, charger (ETL) , Data mining , Data Warehouse , 
Modélisation ,  sql , SQL Server Integration Services (SSIS) , SQL Server Reporting Services (SSRS) , Microsoft SQL Server , Suite MSBI , Ssas , ETL Tools , talend",ERP-BI,"Yellowsys,Binit Nearshore Services,vide,vide",yellowsysbinitnearshoreservicespoulinagroupholdinggroupemagasingeneral,YellowsysBinitNearshoreServices
"Je suis un Ingénieur spécialisé en automatisation, conception mécanique et électrique.
Efficace et efficient dont l’objectif premier est la bonne qualité de mes livrables. 
Convaincu que la synergie issue d’un travail en groupe, le respect et le sacrifice donne
le meilleur résultat. 
Très motivé et ambitieux, ma conviction reste de saisir les opportunités au vol.",Co project manager automation,Esprit,vide,vide,0.0,vide,Co Project Manager automation,Asteelflash,vide,,vide,,,Larisys North Africa,Esol,"Engineering and Machining precision, EMP",ENNAKL Automobiles,vide,"TIA Portal , SOLIDWORKS , Arduino , Réseau de portes programmables (FPGA) ,  Compétences analytiques  , STM 32 , MATLAB , 
LabView , Labwindows CVI",Électromécanique,"Asteelflash,vide,vide,vide",asteelflashlarisysnorthafricaesol,Asteelflash
vide,Mobile Engineer,Esprit,vide,vide,0.0,vide,Full Stack Developer,IT Schrake,Développeur applications mobiles,ComunikCRM,vide,,,,,vide,vide,vide,"Web Development , Mobile Development , DataBase , Android Development , Ionic FrameWork , Java , React Native ,  Swift , Node.js , Laravel , MySQL , WordPress , Magento , Xcode , Unity , Microsoft SQL Server , SQLite",SIM,"IT Schrake,ComunikCRM,vide,vide",itschrakecomunikcrm,ITSchrakeComunikCRM
"A computer engineer with a demonstrated history in SQL, Java, Android Development and Business Intelligence. Have worked on projects related to Databases, Big Data technologies and Web Development as well. Looking for opportunities to implement the skills that I have learnt from my Studies. Currently learning and exploring machine learning and its applications. Currently working on integrating AI models into existing systems to provide better insight",Junior computer engineer(ERP-BI specialist),Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,Euro Information Developpements / EID,BANQUE DE TUNISIE,vide,vide,vide,"Oracle , Requirements Analysis , Java Database Connectivity (JDBC) ,  SQL , MySQL  , 
Talend , Microsoft Power BI , 
Microsoft SQL Server , R , RStudio , Python (Programming Language) ,
Vertica , SAP Data Services ,stambia",ERP-BI,"vide,vide,vide,vide",euroinformationdeveloppementseidbanquedetunisie,vide
"Electromechanical and project engineer specializing in industrial organization and
management, currently student in MBA specializing in energy & sustainable sustainability
at IPAG BUSINESS SCHOOL Having Knowledge of the formulation of a sustainable
organization and energy management, benchmarking and strategic analysis of markets
and competitive environment, as well as in-depth knowledge, financial analysis and
benchmarking of the conduct of various programs in the energy field.
Currently looking for an adapted 6-month internship to validate my MBA. from 01 July 2021

Integrated reporting is built around the following key components:
1. Organisational overview and the external environment under which it operates
2. Governance structure and how this supports its ability to create value
3. Business model
4. Risks and opportunities and how they are dealing with them and how they affect the
company’s ability to create value
5. Strategy and resource allocation
6. Performance and achievement of strategic objectives for the period and outcomes
7. Outlook and challenges facing the company and their implications
8. The basis of presentation needs to be determined, including what matters are to be
included in the integrated report and how the elements are quantified or evaluated.",MBA Student in Energy & Sustainable Development and Electromechanical & Project Engineer,Esprit,National Engineering School of Monastir,"IPAG Business School
MBA spécialisé, Energy & Sustainable Developpement ",1.0,"Project Management 
International Business Management Institute /  IELTS ( Advanced English Level )
British Council / TCF ( Compétence Professionnelle ) 
Campus France",Junior Project/Mechanical Petroleum Engineer,ETAP,Co-fondateur,Ad Mad Events,vide,,,Société Italo Tunisienne d'Exploitation Pétrolière,Intermetal,MERI,vide,vide,"MATLAB , 
SOLIDWORKS , Lean Manufacturing
Gestion de la maintenance ,  
Manufacture , ISO 14001 , ISO 9001
Arduino , Technique de forage , 
Gestion d’installations , Planification de projets , 
Amélioration continue , Systèmes de gestion de l'environnement , 
Contrôle qualité , 
Hygiène, sécurité, environnement (HSE) , Stratégie d’entreprise , Génie pétrolier
Gestion de l'énergie , Stratégie , 
Conseil en management , Énergie , 
Conseil en développement durable",Électromécanique,"ETAP,Ad Mad Events,vide,vide",etapadmadeventssocieteitalotunisiennedexploitationpetroliereintermetal,ETAPAdMadEvents
vide,Junior International Consultant,Esprit,vide,vide,0.0,"Consulting skills bootcamp
Rochester Institute of Technology, Dubai (RIT Dubai) / NVIDIA DLI Certificate – Fundamentals of Deep Learning for Computer Vision",Software Engineer,Centre de Distribution Informatique,Junior International Consultant,"Rochester Institute of Technology, Dubai (RIT Dubai)",Business Intelligence Engineer,Freelancer de BI,,Addnam,Mauritel SA,vide,vide,vide,"Microsoft Power BI , Consulting stratégique , Informatique décisionnelle , Data Analysis , Data Mining , Database Administration , 
Data Management , Business Development , Visualisation de données , R , Python , SAP ABAP , NoSQL , Java , SAP BW , MySQL , Microsoft Dynamics NAV , PL/SQL , TableauT , SQL , Talend , Internet des objets , PowerBI",ERP-BI,"Centre de Distribution Informatique,Rochester Institute of Technology, Dubai (RIT Dubai),Freelancer de BI,vide",centrededistributioninformatiquerochesterinstituteoftechnologydubairitdubaiaddnammauritelsa,CentredeDistributionInformatiqueRochesterInstituteofTechnologyDubaiRITDubai
vide,Manager Supply Chain & Achats Junior,Esprit,vide,"TBS EducationTBS Education
Master of Science - MS, Supply chain et achats",1.0,vide,Ingénieur méthodes logistique,Aigle,Chef de projet amélioration continue,SICAM,vide,,,SFBT,,vide,vide,vide,"
Maîtrise des principes de la supply chain , Maîtrise des démarches d’amélioration continue , Gestion de la chaîne logistique ,  Planification production , Gestion des stocks , Gestion des risques , Amélioration de la qualité , Lean Six Sigma , DMAIC , Approvisionnement ,  Gestion des transports , SAP ERP , VBA ,
Kaizen , Lean manufacturing , Planification stratégique , Value Stream Mapping , 5S5S , Amélioration des processus , Gestion de projet , Opérations de la chaîne logistique , 
Management ",Électromécanique,"Aigle,SICAM,vide,vide",aiglesicamsfbt,AigleSICAM
