Option,CountryOfWork,Company,TypeOfCompany,jobDate1,jobDate2,Duree,Description,skill1,skill2,skill3,skill4,skill5,Allskills,Job Rate,Monthly Salary
SIM,France,ChooseMyCompany,Other,2022-01-22 00:00:00,2022-04-17 00:00:00,85,"The top skills in demand  : Altuim , Maple , flutter , stm32CubeMX",flutter,Maple,Altuim,stm32CubeMX, ,"flutter,Maple,Altuim,stm32CubeMX, ",5,3071
TWIN,France,fullstack,Multinational (MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"you should be competent at : mysql , Développement front-end , HTML , Node.js",Développement front-end,Node.js,HTML,mysql, ,"Développement front-end,Node.js,HTML,mysql, ",3,3298
Data Science,Germany,HelloFresh,Private (non-MNC),2022-10-19 00:00:00,2022-04-17 00:00:00,185,"you should be competent at : Python , Statistiques , TensorFlow",Statistiques,Python,TensorFlow, , ,"Statistiques,Python,TensorFlow, , ",5,828
SLEAM,Tunisia,ACTIA,Private (non-MNC),2022-02-20 00:00:00,2020-07-01 00:00:00,599,"In my academic journey i ve learned : PHP , jQuery , DK Android , Express.js",DK Android,PHP,jQuery,Express.js, ,"DK Android,PHP,jQuery,Express.js, ","4,5",2404
ERP-BI,Canada,Eaton,Other,2022-09-21 00:00:00,2022-01-01 00:00:00,263,"we used to working with : IBM Cognos , Informatique décisionnelle , R",Informatique décisionnelle,IBM Cognos,R, , ,"Informatique décisionnelle,IBM Cognos,R, , ",3,3410
Data Science,France,BHF,Multinational (MNC),2022-12-21 00:00:00,2022-04-17 00:00:00,248,"we used to working with : R , Analyses Big Data , TensorFlow",TensorFlow,R,Analyses Big Data, , ,"TensorFlow,R,Analyses Big Data, , ",5,1817
Data Science,France,VIAPIX Systems,Other,2022-05-19 00:00:00,2022-04-17 00:00:00,32,"The top skills in demand  : Python , Statistiques , Machine learning , Deep learning , Analyse de données",Machine learning,Deep learning,Analyse de données,Statistiques,Python,"Machine learning,Deep learning,Analyse de données,Statistiques,Python",2,2923
ERP-BI,Tunisia,EY,Other,2022-02-22 00:00:00,2022-04-17 00:00:00,54,"The top skills in demand  : Tableau Software , IBM Cognos , R",IBM Cognos,Tableau Software,R, , ,"IBM Cognos,Tableau Software,R, , ",5,3138
TWIN,Tunisia,Talan,Multinational (MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"we need : mysql , Node.js , J2EE Web Services , HTML , PHP",Node.js,HTML,PHP,mysql,J2EE Web Services,"Node.js,HTML,PHP,mysql,J2EE Web Services",3,3139
GL,Tunisia,Vermeg,Private (non-MNC),2022-01-20 00:00:00,2022-04-17 00:00:00,87,"The top skills in demand  : Java Enterprise Edition , MongoDB , PL/SQL , jQuery , UML",Java Enterprise Edition,jQuery,UML,PL/SQL,MongoDB,"Java Enterprise Edition,jQuery,UML,PL/SQL,MongoDB",3,3263
INFINI,Tunisia,Spra HR Software,Multinational (MNC),2022-12-19 00:00:00,2022-04-17 00:00:00,246,"The top skills in demand  : Cash Flow Management , Financial Reporting , Financial Management , Communication",Financial Reporting,Cash Flow Management,Financial Management,Communication, ,"Financial Reporting,Cash Flow Management,Financial Management,Communication, ",5,1258
Cloud Computing,Germany,Reply,Private (non-MNC),2022-08-19 00:00:00,2022-04-17 00:00:00,124,"The top skills in demand  : Virtualisation , Sécurité réseau , Infrastructure",Infrastructure,Virtualisation,Sécurité réseau, , ,"Infrastructure,Virtualisation,Sécurité réseau, , ",3,2527
ERP-BI,Europe,Axiane,Multinational (MNC),2022-04-21 00:00:00,2022-04-17 00:00:00,4,"we need : R , Informatique décisionnelle , Talend , Tableau Software",Informatique décisionnelle,Tableau Software,R,Talend, ,"Informatique décisionnelle,Tableau Software,R,Talend, ","4,5",3017
TWIN,Tunisia,Decade,Other,2022-09-18 00:00:00,2022-04-17 00:00:00,154,"In my academic journey i ve learned : PHP , Angular/JS , mysql , HTML , Node.js",Node.js,HTML,PHP,Angular/JS,mysql,"Node.js,HTML,PHP,Angular/JS,mysql",5,1639
GL,Tunisia,Etap,Other,2022-08-12 00:00:00,2013-08-01 00:00:00,3298,"you should be competent at : jQuery , MongoDB , .NET framework , AJAX , Qt",.NET framework,AJAX,jQuery,MongoDB,Qt,".NET framework,AJAX,jQuery,MongoDB,Qt",3,1867
INFINI,Tunisia,Vermeg,Multinational (MNC),2022-11-20 00:00:00,2022-04-17 00:00:00,217,"The skills are : Financial Reporting , Communication , Financial Management",Financial Reporting,Financial Management,Communication, , ,"Financial Reporting,Financial Management,Communication, , ",2,2314
GL,Tunisia,Knowledge Expert,Private (non-MNC),2022-02-19 00:00:00,2019-08-01 00:00:00,933,"you should be competent at : Java Enterprise Edition , .NET framework , jQuery , PL/SQL , Maven",Java Enterprise Edition,.NET framework,jQuery,PL/SQL,Maven,"Java Enterprise Edition,.NET framework,jQuery,PL/SQL,Maven",5,2679
TWIN,France,Technema,Multinational (MNC),2022-02-21 00:00:00,2022-04-17 00:00:00,55,"we used to working with : mysql , HTML , PHP , Node.js , Angular/JS",Node.js,HTML,PHP,Angular/JS,mysql,"Node.js,HTML,PHP,Angular/JS,mysql","4,5",3166
Data Science,Germany,BMW Group,Multinational (MNC),1970-01-01 00:00:00,2022-04-17 00:00:00,19099,"we need : TensorFlow , Analyses Big Data , R , Deep learning , Python",Deep learning,Python,TensorFlow,R,Analyses Big Data,"Deep learning,Python,TensorFlow,R,Analyses Big Data",5,2429
ERP-BI,Tunisia,Telnet,Private (non-MNC),2022-06-18 00:00:00,2022-04-17 00:00:00,62,"The skills are : Power BI , R , IBM Cognos , Informatique décisionnelle",Informatique décisionnelle,Power BI,IBM Cognos,R, ,"Informatique décisionnelle,Power BI,IBM Cognos,R, ","4,5",1865
TWIN,France,Merck Group,Other,2022-12-21 00:00:00,2022-04-17 00:00:00,248,"we need : Développement front-end , J2EE Web Services , mysql",Développement front-end,mysql,J2EE Web Services, , ,"Développement front-end,mysql,J2EE Web Services, , ","4,5",868
ERP-BI,Tunisia,Goldstar,Private (non-MNC),2022-04-19 00:00:00,2022-04-17 00:00:00,2,"we used to working with : R , IBM Cognos , Talend , Informatique décisionnelle",Informatique décisionnelle,IBM Cognos,R,Talend, ,"Informatique décisionnelle,IBM Cognos,R,Talend, ",5,3411
TWIN,Tunisia,Wimbee,Private (non-MNC),1970-01-01 00:00:00,2022-04-17 00:00:00,19099,"you should be competent at : Node.js , PHP , HTML",Node.js,HTML,PHP, , ,"Node.js,HTML,PHP, , ",3,3324
SIM,France,Parrot,Multinational (MNC),2022-02-20 00:00:00,2022-04-17 00:00:00,56,"The top skills in demand  : stm32CubeMX , C ++ , flutter , Arduino",flutter,C ++,Arduino,stm32CubeMX, ,"flutter,C ++,Arduino,stm32CubeMX, ",1,2715
ERP-BI,Tunisia,BMC,Multinational (MNC),2022-02-20 00:00:00,2022-04-17 00:00:00,56,"you should be competent at : Power BI , R , Tableau Software",Power BI,Tableau Software,R, , ,"Power BI,Tableau Software,R, , ","4,5",2664
GL,Tunisia,sofrecom,Private (non-MNC),2022-08-20 00:00:00,2021-04-01 00:00:00,506,"we are looking for person with this skills  : MongoDB , UML , NoSQL , jQuery , Framework Spring",jQuery,UML,NoSQL,MongoDB,Framework Spring,"jQuery,UML,NoSQL,MongoDB,Framework Spring",5,1801
GL,Tunisia,Vista,Multinational (MNC),2022-12-21 00:00:00,2022-04-17 00:00:00,248,"we are looking for person with this skills  : .NET framework , NoSQL , Qt , UML , AJAX",.NET framework,AJAX,UML,NoSQL,Qt,".NET framework,AJAX,UML,NoSQL,Qt",3,1452
SIM,France,Coexya,Multinational (MNC),2022-12-19 00:00:00,2022-04-17 00:00:00,246,"we are looking for person with this skills  : Altuim , Arduino , Maple",Arduino,Maple,Altuim, , ,"Arduino,Maple,Altuim, , ",3,2358
GL,Europe,Hays,Multinational (MNC),2022-03-21 00:00:00,2022-04-17 00:00:00,27,"we are looking for person with this skills  : Framework Spring , AJAX , Maven , jQuery , PL/SQL",AJAX,jQuery,PL/SQL,Maven,Framework Spring,"AJAX,jQuery,PL/SQL,Maven,Framework Spring",3,784
ERP-BI,Canada,Desjardins,Other,2022-03-21 00:00:00,2022-04-17 00:00:00,27,"you should be competent at : Informatique décisionnelle , Power BI , Analyses Big Data , Tableau Software , IBM Cognos",Informatique décisionnelle,Power BI,IBM Cognos,Tableau Software,Analyses Big Data,"Informatique décisionnelle,Power BI,IBM Cognos,Tableau Software,Analyses Big Data",3,1423
INFINI,Africa,2ST,Multinational (MNC),2022-02-20 00:00:00,2022-04-17 00:00:00,56,"we are looking for person with this skills  : Cash Flow Management , finance  , Financial Reporting , Financial Management , Communication",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",2,2174
ERP-BI,Tunisia,Ekimetrics,Other,2022-04-21 00:00:00,2022-04-17 00:00:00,4,"we used to working with : Analyses Big Data , Talend , Power BI",Power BI,Analyses Big Data,Talend, , ,"Power BI,Analyses Big Data,Talend, , ","4,5",2182
Data Science,Tunisia,Sagemcom,Private (non-MNC),2022-10-20 00:00:00,2022-04-17 00:00:00,186,"The skills are : Statistiques , Python , R",Statistiques,Python,R, , ,"Statistiques,Python,R, , ",3,2437
TWIN,Tunisia,Decade,Multinational (MNC),2022-09-20 00:00:00,2022-04-17 00:00:00,156,"In my academic journey i ve learned : Développement front-end , Angular/JS , J2EE Web Services , CSS , Node.js",Développement front-end,CSS,Node.js,Angular/JS,J2EE Web Services,"Développement front-end,CSS,Node.js,Angular/JS,J2EE Web Services",2,926
ERP-BI,Canada,JackTech,Private (non-MNC),2022-06-21 00:00:00,2021-12-01 00:00:00,202,"The skills are : Analyses Big Data , Power BI , IBM Cognos",Power BI,IBM Cognos,Analyses Big Data, , ,"Power BI,IBM Cognos,Analyses Big Data, , ",3,1506
NIDS,France,Cytekia,Multinational (MNC),2022-07-21 00:00:00,2021-09-01 00:00:00,323,"you should be competent at : sécurité des systèmes dinformation , Fluentd , Test d’intrusion , Logstash",sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd, ,"sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd, ",5,3159
GL,Tunisia,VanHack,Other,2022-02-22 00:00:00,2022-04-17 00:00:00,54,"we used to working with : AJAX , UML , Java Enterprise Edition , MongoDB , PL/SQL",Java Enterprise Edition,AJAX,UML,PL/SQL,MongoDB,"Java Enterprise Edition,AJAX,UML,PL/SQL,MongoDB",1,1117
SIM,Tunisia,UKKA,Private (non-MNC),2022-11-21 00:00:00,2022-04-17 00:00:00,218,"The skills are : Arduino , Altuim , stm32CubeMX , flutter",flutter,Arduino,Altuim,stm32CubeMX, ,"flutter,Arduino,Altuim,stm32CubeMX, ","4,5",2379
TWIN,Tunisia,Xtensus,Private (non-MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"you should be competent at : PHP , CSS , HTML , Angular/JS",CSS,HTML,PHP,Angular/JS, ,"CSS,HTML,PHP,Angular/JS, ",5,2372
SIM,Germany,Akka Technologies,Multinational (MNC),2022-06-21 00:00:00,2021-07-01 00:00:00,355,"we are looking for person with this skills  : Maple , Altuim , stm32CubeMX",Maple,Altuim,stm32CubeMX, , ,"Maple,Altuim,stm32CubeMX, , ",3,2908
GL,Tunisia,Vermeg,Private (non-MNC),2022-07-21 00:00:00,2021-08-01 00:00:00,354,"you should be competent at : MongoDB , PL/SQL , Maven",PL/SQL,Maven,MongoDB, , ,"PL/SQL,Maven,MongoDB, , ",3,2019
ERP-BI,Tunisia,Data colab,Other,2022-07-21 00:00:00,2022-04-17 00:00:00,95,"In my academic journey i ve learned : Power BI , Talend , Analyses Big Data",Power BI,Analyses Big Data,Talend, , ,"Power BI,Analyses Big Data,Talend, , ",1,877
TWIN,France,Aubay,Multinational (MNC),2022-07-21 00:00:00,2021-08-01 00:00:00,354,"we are looking for person with this skills  : Angular/JS , CSS , HTML , J2EE Web Services , PHP",CSS,HTML,PHP,Angular/JS,J2EE Web Services,"CSS,HTML,PHP,Angular/JS,J2EE Web Services",5,1043
INFINI,Tunisia,vermeg,Multinational (MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"The top skills in demand  : Financial Reporting , Financial Management , finance  , Cash Flow Management , Communication",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",3,3258
INFINI,France,Schneider Electric,Multinational (MNC),2022-02-20 00:00:00,2020-05-01 00:00:00,660,"we are looking for person with this skills  : Communication , Financial Management , finance  , Cash Flow Management",finance ,Cash Flow Management,Financial Management,Communication, ,"finance ,Cash Flow Management,Financial Management,Communication, ",5,976
Cloud Computing,France,Capgemini,Multinational (MNC),2022-01-20 00:00:00,2020-09-01 00:00:00,506,"The top skills in demand  : Routeurs Cisco , DevOps , Sécurité réseau",DevOps,Routeurs Cisco,Sécurité réseau, , ,"DevOps,Routeurs Cisco,Sécurité réseau, , ",2,3096
ERP-BI,Tunisia,IACE,Other,2022-02-21 00:00:00,2021-07-01 00:00:00,235,"The top skills in demand  : Tableau Software , Talend , R , Informatique décisionnelle",Informatique décisionnelle,Tableau Software,R,Talend, ,"Informatique décisionnelle,Tableau Software,R,Talend, ",3,1985
Cloud Computing,France,Thales,Other,2022-01-22 00:00:00,2022-04-17 00:00:00,85,"we used to working with : Sécurité réseau , Automatisation des tests , Docker , Virtualisation",Docker,Automatisation des tests,Virtualisation,Sécurité réseau, ,"Docker,Automatisation des tests,Virtualisation,Sécurité réseau, ",5,2371
GL,Tunisia,Sofrecom,Multinational (MNC),2022-02-22 00:00:00,2022-04-17 00:00:00,54,"we are looking for person with this skills  : Maven , PL/SQL , NoSQL , AJAX",AJAX,PL/SQL,Maven,NoSQL, ,"AJAX,PL/SQL,Maven,NoSQL, ",2,2562
Cloud Computing,Europe,Hays,Multinational (MNC),2022-10-21 00:00:00,2021-12-01 00:00:00,324,"we need : Cloud Computing , Sécurité réseau , Automatisation des tests",Automatisation des tests,Cloud Computing,Sécurité réseau, , ,"Automatisation des tests,Cloud Computing,Sécurité réseau, , ",5,1254
GL,Tunisia,Blue spirit,Multinational (MNC),2022-02-21 00:00:00,2022-04-17 00:00:00,55,"you should be competent at : PL/SQL , UML , NoSQL , Framework Spring",UML,PL/SQL,NoSQL,Framework Spring, ,"UML,PL/SQL,NoSQL,Framework Spring, ",5,793
Data Science,Europe,Amazon,Other,2022-04-21 00:00:00,2021-09-01 00:00:00,232,"we used to working with : Deep learning , TensorFlow , R",Deep learning,TensorFlow,R, , ,"Deep learning,TensorFlow,R, , ",3,2416
ERP-BI,Africa,MasterCard,Multinational (MNC),2022-08-19 00:00:00,2019-09-01 00:00:00,1083,"The skills are : Tableau Software , Informatique décisionnelle , R , IBM Cognos",Informatique décisionnelle,IBM Cognos,Tableau Software,R, ,"Informatique décisionnelle,IBM Cognos,Tableau Software,R, ",5,822
ERP-BI,France,Relevance,Other,2022-03-20 00:00:00,2020-09-01 00:00:00,565,"we used to working with : Analyses Big Data , IBM Cognos , R , Tableau Software",IBM Cognos,Tableau Software,R,Analyses Big Data, ,"IBM Cognos,Tableau Software,R,Analyses Big Data, ",5,1442
ERP-BI,Tunisia,Cynoia,Other,2022-09-21 00:00:00,2022-04-17 00:00:00,157,"we are looking for person with this skills  : R , Informatique décisionnelle , Analyses Big Data , Power BI , IBM Cognos",Informatique décisionnelle,Power BI,IBM Cognos,R,Analyses Big Data,"Informatique décisionnelle,Power BI,IBM Cognos,R,Analyses Big Data","4,5",887
Data Science,Tunisia,Keyrus,Other,2022-10-21 00:00:00,2022-04-17 00:00:00,187,"you should be competent at : TensorFlow , R , Analyse de données , Statistiques",Analyse de données,Statistiques,TensorFlow,R, ,"Analyse de données,Statistiques,TensorFlow,R, ",2,1671
TWIN,Tunisia,UKKA,Multinational (MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"we used to working with : J2EE Web Services , CSS , PHP , HTML",CSS,HTML,PHP,J2EE Web Services, ,"CSS,HTML,PHP,J2EE Web Services, ","4,5",1877
ERP-BI,Tunisia,EdifiXio Tunisie,Private (non-MNC),2022-09-20 00:00:00,2022-04-17 00:00:00,156,"you should be competent at : Tableau Software , Power BI , R , Analyses Big Data",Power BI,Tableau Software,R,Analyses Big Data, ,"Power BI,Tableau Software,R,Analyses Big Data, ",2,1960
GL,Tunisia,Vermeg,Multinational (MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"The top skills in demand  : Java Enterprise Edition , Maven , AJAX , PL/SQL , UML",Java Enterprise Edition,AJAX,UML,PL/SQL,Maven,"Java Enterprise Edition,AJAX,UML,PL/SQL,Maven","4,5",2422
Cloud Computing,Tunisia,Sofrecom,Multinational (MNC),2022-02-22 00:00:00,2022-04-17 00:00:00,54,"we used to working with : Sécurité réseau , Développement de logiciel , Docker , Cloud Computing",Docker,Développement de logiciel,Cloud Computing,Sécurité réseau, ,"Docker,Développement de logiciel,Cloud Computing,Sécurité réseau, ",5,1299
TWIN,Tunisia,EMIKETIC,Multinational (MNC),2022-02-22 00:00:00,2022-04-17 00:00:00,54,"The top skills in demand  : Développement front-end , HTML , PHP",Développement front-end,HTML,PHP, , ,"Développement front-end,HTML,PHP, , ",5,2127
NIDS,Tunisia,Opt2Open,Multinational (MNC),2022-06-21 00:00:00,2021-07-01 00:00:00,355,"The skills are : Test d’intrusion , Logstash , Fluentd , sécurité des systèmes dinformation",sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd, ,"sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd, ",2,3096
GL,Canada,Stantec,Multinational (MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"In my academic journey i ve learned : Qt , jQuery , PL/SQL",jQuery,PL/SQL,Qt, , ,"jQuery,PL/SQL,Qt, , ",1,951
ERP-BI,Usa,TXT Group,Multinational (MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"The skills are : R , Talend , Informatique décisionnelle",Informatique décisionnelle,R,Talend, , ,"Informatique décisionnelle,R,Talend, , ",1,2940
Data Science,France,Value,Other,2022-08-21 00:00:00,2022-04-17 00:00:00,126,"we used to working with : Machine learning , Python , Analyses Big Data , TensorFlow , R",Machine learning,Python,TensorFlow,R,Analyses Big Data,"Machine learning,Python,TensorFlow,R,Analyses Big Data","4,5",3293
Data Science,Germany,Siemens,Other,2022-06-21 00:00:00,2022-04-17 00:00:00,65,"we used to working with : Analyses Big Data , Statistiques , Python , Machine learning",Machine learning,Statistiques,Python,Analyses Big Data, ,"Machine learning,Statistiques,Python,Analyses Big Data, ",2,3250
ERP-BI,Tunisia,IT for all,Multinational (MNC),2022-11-21 00:00:00,2022-04-17 00:00:00,218,"The top skills in demand  : Informatique décisionnelle , Tableau Software , Power BI , IBM Cognos",Informatique décisionnelle,Power BI,IBM Cognos,Tableau Software, ,"Informatique décisionnelle,Power BI,IBM Cognos,Tableau Software, ",3,2085
ERP-BI,Tunisia,Club med,Other,2022-07-18 00:00:00,2022-04-17 00:00:00,92,"In my academic journey i ve learned : Tableau Software , Analyses Big Data , Power BI , Informatique décisionnelle , R",Informatique décisionnelle,Power BI,Tableau Software,R,Analyses Big Data,"Informatique décisionnelle,Power BI,Tableau Software,R,Analyses Big Data",3,1578
TWIN,Tunisia,Wimbee,Multinational (MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"we used to working with : mysql , Node.js , Développement front-end , PHP , HTML",Développement front-end,Node.js,HTML,PHP,mysql,"Développement front-end,Node.js,HTML,PHP,mysql",3,1169
ERP-BI,Africa,Africleads,Private (non-MNC),2022-05-21 00:00:00,2022-04-17 00:00:00,34,"we used to working with : Talend , Analyses Big Data , R , Power BI",Power BI,R,Analyses Big Data,Talend, ,"Power BI,R,Analyses Big Data,Talend, ",5,1054
GL,Germany,ABB,Multinational (MNC),2022-01-21 00:00:00,2022-04-17 00:00:00,86,"In my academic journey i ve learned : AJAX , Framework Spring , .NET framework , Maven , UML",.NET framework,AJAX,UML,Maven,Framework Spring,".NET framework,AJAX,UML,Maven,Framework Spring","4,5",1349
GL,Tunisia,ADACTIM,Multinational (MNC),2022-03-21 00:00:00,2021-12-01 00:00:00,110,"we are looking for person with this skills  : .NET framework , PL/SQL , jQuery , Java Enterprise Edition , UML",Java Enterprise Edition,.NET framework,jQuery,UML,PL/SQL,"Java Enterprise Edition,.NET framework,jQuery,UML,PL/SQL",5,2196
GL,Usa,Dice,Other,2022-04-21 00:00:00,2022-04-17 00:00:00,4,"we need : .NET framework , NoSQL , Maven , MongoDB , AJAX",.NET framework,AJAX,Maven,NoSQL,MongoDB,".NET framework,AJAX,Maven,NoSQL,MongoDB",5,3264
TWIN,Tunisia,New Acess,Private (non-MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"we are looking for person with this skills  : PHP , HTML , Développement front-end , mysql , Angular/JS",Développement front-end,HTML,PHP,Angular/JS,mysql,"Développement front-end,HTML,PHP,Angular/JS,mysql",5,1232
ERP-BI,Tunisia,Geek data,Other,2022-01-22 00:00:00,2022-04-17 00:00:00,85,"we are looking for person with this skills  : Power BI , Analyses Big Data , IBM Cognos , Tableau Software",Power BI,IBM Cognos,Tableau Software,Analyses Big Data, ,"Power BI,IBM Cognos,Tableau Software,Analyses Big Data, ",5,2401
GL,Canada,Cisco,Private (non-MNC),2022-03-18 00:00:00,2018-07-01 00:00:00,1356,"we are looking for person with this skills  : PL/SQL , .NET framework , MongoDB",.NET framework,PL/SQL,MongoDB, , ,".NET framework,PL/SQL,MongoDB, , ",5,3168
ERP-BI,France,Infinity,Other,2022-01-22 00:00:00,2022-04-17 00:00:00,85,"we used to working with : Informatique décisionnelle , Talend , R",Informatique décisionnelle,R,Talend, , ,"Informatique décisionnelle,R,Talend, , ",5,1620
GL,Tunisia,Tunisoft,Other,2022-02-22 00:00:00,2022-04-17 00:00:00,54,"we used to working with : .NET framework , UML , Java Enterprise Edition , Qt",Java Enterprise Edition,.NET framework,UML,Qt, ,"Java Enterprise Edition,.NET framework,UML,Qt, ",5,1482
ERP-BI,Tunisia,Madar consulting,Other,2022-01-22 00:00:00,2022-04-17 00:00:00,85,"In my academic journey i ve learned : Tableau Software , Power BI , Analyses Big Data , IBM Cognos , R",Power BI,IBM Cognos,Tableau Software,R,Analyses Big Data,"Power BI,IBM Cognos,Tableau Software,R,Analyses Big Data","4,5",1967
GL,Tunisia,TUI Musement,Private (non-MNC),2022-07-20 00:00:00,2020-08-01 00:00:00,718,"The top skills in demand  : NoSQL , Qt , PL/SQL , Maven , UML",UML,PL/SQL,Maven,NoSQL,Qt,"UML,PL/SQL,Maven,NoSQL,Qt",5,1696
INFINI,France,Esprit tech,Multinational (MNC),2022-01-20 00:00:00,2022-04-17 00:00:00,87,"The top skills in demand  : finance  , Financial Management , Communication , Cash Flow Management",finance ,Cash Flow Management,Financial Management,Communication, ,"finance ,Cash Flow Management,Financial Management,Communication, ","4,5",2913
ERP-BI,France,Vneuron,Other,2022-02-21 00:00:00,2021-08-01 00:00:00,204,"The top skills in demand  : R , Talend , Power BI",Power BI,R,Talend, , ,"Power BI,R,Talend, , ",1,2068
TWIN,Tunisia,Wizzlabs,Multinational (MNC),2022-03-21 00:00:00,2021-08-01 00:00:00,232,"The skills are : PHP , Angular/JS , Node.js , CSS",CSS,Node.js,PHP,Angular/JS, ,"CSS,Node.js,PHP,Angular/JS, ",3,1430
GL,France,NetCeler,Private (non-MNC),2022-12-21 00:00:00,2022-04-17 00:00:00,248,"you should be competent at : NoSQL , Qt , PL/SQL , Maven , jQuery",jQuery,PL/SQL,Maven,NoSQL,Qt,"jQuery,PL/SQL,Maven,NoSQL,Qt",1,3138
SIM,France,Sterblue,Multinational (MNC),2022-06-20 00:00:00,2022-04-17 00:00:00,64,"we need : C ++ , Arduino , Maple , flutter",flutter,C ++,Arduino,Maple, ,"flutter,C ++,Arduino,Maple, ",3,2051
ERP-BI,Tunisia,BMC,Multinational (MNC),2022-07-21 00:00:00,2021-08-01 00:00:00,354,"The top skills in demand  : R , Power BI , IBM Cognos , Informatique décisionnelle , Tableau Software",Informatique décisionnelle,Power BI,IBM Cognos,Tableau Software,R,"Informatique décisionnelle,Power BI,IBM Cognos,Tableau Software,R",1,2986
GL,Canada,cisco,Private (non-MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"In my academic journey i ve learned : jQuery , Java Enterprise Edition , NoSQL , PL/SQL",Java Enterprise Edition,jQuery,PL/SQL,NoSQL, ,"Java Enterprise Edition,jQuery,PL/SQL,NoSQL, ",5,2790
GL,Canada,Nokia,Multinational (MNC),2022-08-21 00:00:00,2021-09-01 00:00:00,354,"we used to working with : jQuery , Java Enterprise Edition , PL/SQL",Java Enterprise Edition,jQuery,PL/SQL, , ,"Java Enterprise Edition,jQuery,PL/SQL, , ","4,5",1075
INFINI,Tunisia,Cross Border Talents,Other,2022-11-20 00:00:00,2022-04-17 00:00:00,217,"we used to working with : Communication , Financial Reporting , finance  , Cash Flow Management",finance ,Financial Reporting,Cash Flow Management,Communication, ,"finance ,Financial Reporting,Cash Flow Management,Communication, ",1,2009
GL,France,Continental,Other,2022-04-21 00:00:00,2022-01-01 00:00:00,110,"The skills are : AJAX , jQuery , UML , Java Enterprise Edition",Java Enterprise Edition,AJAX,jQuery,UML, ,"Java Enterprise Edition,AJAX,jQuery,UML, ",3,3254
GL,Europe,Archilogic,Multinational (MNC),2022-09-19 00:00:00,2022-04-17 00:00:00,155,"we are looking for person with this skills  : AJAX , Framework Spring , jQuery , PL/SQL , .NET framework",.NET framework,AJAX,jQuery,PL/SQL,Framework Spring,".NET framework,AJAX,jQuery,PL/SQL,Framework Spring",3,2367
ERP-BI,Tunisia,BMC,Multinational (MNC),2022-10-20 00:00:00,2022-04-17 00:00:00,186,"we need : Talend , IBM Cognos , Power BI , Tableau Software",Power BI,IBM Cognos,Tableau Software,Talend, ,"Power BI,IBM Cognos,Tableau Software,Talend, ",3,3158
GL,Tunisia,Venrai Security,Other,2022-03-21 00:00:00,2021-09-01 00:00:00,201,"The skills are : Maven , UML , Qt , NoSQL",UML,Maven,NoSQL,Qt, ,"UML,Maven,NoSQL,Qt, ",2,1980
ERP-BI,Tunisia,Datado,Multinational (MNC),2022-04-19 00:00:00,2022-04-17 00:00:00,2,"In my academic journey i ve learned : Tableau Software , Talend , IBM Cognos , R , Analyses Big Data",IBM Cognos,Tableau Software,R,Analyses Big Data,Talend,"IBM Cognos,Tableau Software,R,Analyses Big Data,Talend",3,2049
TWIN,Germany,Modis,Multinational (MNC),2022-09-20 00:00:00,2021-03-01 00:00:00,568,"we used to working with : Node.js , PHP , HTML , Angular/JS",Node.js,HTML,PHP,Angular/JS, ,"Node.js,HTML,PHP,Angular/JS, ",2,2727
ERP-BI,Tunisia,Msf,Private (non-MNC),2022-07-21 00:00:00,2021-08-01 00:00:00,354,"The top skills in demand  : R , Informatique décisionnelle , IBM Cognos , Power BI",Informatique décisionnelle,Power BI,IBM Cognos,R, ,"Informatique décisionnelle,Power BI,IBM Cognos,R, ",5,974
GL,Africa,TUI Musement,Multinational (MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"we used to working with : AJAX , UML , MongoDB , jQuery , Framework Spring",AJAX,jQuery,UML,MongoDB,Framework Spring,"AJAX,jQuery,UML,MongoDB,Framework Spring",5,992
GL,Asia,BRP,Multinational (MNC),2022-08-21 00:00:00,2022-04-17 00:00:00,126,"you should be competent at : Qt , MongoDB , PL/SQL",PL/SQL,MongoDB,Qt, , ,"PL/SQL,MongoDB,Qt, , ",1,2730
